

 clock  | self+sourced |   self:|  sourced script
1120.595|  000.617|  000.617| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/javascript.vim
1124.660|  003.242|  003.242| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/vb.vim
1245.558|  120.218|  120.218| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/css.vim
1277.660|  164.754|  040.677| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/syntax/html.vim
1291.013|  470.161| 061.666:| sourcing /usr/local/Cellar/neovim/0.5.1_1/share/nvim/runtime/scripts.vim
1303.761|  243.472| |opening buffers
1303.915|  000.154| |BufEnter autocommands
1303.925|  000.010| |editing files in windows
1304.326|  000.401| |VimEnter autocommands
1304.334|  000.008| |UIEnter autocommands
1304.341|  000.007| |before starting main loop
1392.334|  087.993| |first screen update
1392.339|  000.005| |--- NVIM STARTED ---
